id tweet,date,text,lang,app,author,id author,name,description,location,created at,author url,description urls,profile image url,followers,following,tweets,relation,user retweeted,tweet hashtags,tweet urls,media keys,id tweet retweeted,media types,media urls,retrieved at
1582751728318832642,2022-10-19 15:13:12,"RT @MiercolesRepubl: Se apartan periodistas que denuncian la corrupción de la monarquía y se es complaciente con los que ocultaron o justificaron con su corrupción, lo explica Jesús Cintora @JesusCintora para @publico_es.   #FelizMiércoles https://t.co/S6jMs29HP7",es,Twitter Web App,aguaviva63,1550451651412217856,aguaviva63,"Conectar con la energia de otro ser humano es, caminar con la fuerza del universo.",None,2022-07-22 12:04:54,None,None,https://pbs.twimg.com/profile_images/1550550612886126593/wpCpUIMo_normal.jpg,99,277,8989,retweeted,MiercolesRepubl,['FelizMiércoles'],['https://twitter.com/MiercolesRepubl/status/1577616353699270658/video/1'],['7_1577616319662510081'],1582635160318738433,[],[],2022-10-19 15:15:40
1582751695125155840,2022-10-19 15:13:04,RT @MiercolesRepubl: 📢 Primera recomendación republicana de hoy:  ➡️ @Kerrymalamutter ➡️ @oliverdmh96  ✅ Retuitea este tuit ✅ Sigue a quien retuitee ✅ Sigue a quien te siga   📰 Campaña de promoción y crecimiento de cuentas republicanas.   ❤️💛💜 ¡Salud y República! 👋 #FelizMiércoles https://t.co/shgFUstkJ5,es,Twitter for Android,GarridoSierra,2198150105,M@ Àngeles GaSi,"Trabajo en Unísono Soluciones de Negocio, S.A. Madrid     Delegada de CC.OO. en Unísono-Madrid",None,2013-11-27 16:57:51,None,None,https://pbs.twimg.com/profile_images/1553021773268111360/ErUnqHBh_normal.jpg,165,637,5867,retweeted,MiercolesRepubl,['FelizMiércoles'],['https://twitter.com/MiercolesRepubl/status/1582627611133345792/photo/1'],['3_1582442074468716553'],1582627611133345792,[],[],2022-10-19 15:15:40
1582751671876141056,2022-10-19 15:12:59,RT @satelucos: #FelizMiercoles #Satelucos. Tengan un excelente día. #CuidarteEsCuidarnos  #NoBajesLaGuardia @perioDinamik @AnillosPortilla @ArkanoEzael @SateliteSeguro @ulammjoyas @TheCandlePlaceM @addwebtech @VIGCAMMEXICO @MxEnImagenes @CopanOficial https://t.co/mlLXlprB7Y,es,Twitter for iPhone,SateliteSeguro,1380731522,Satelite Seguro,Cuenta creada para pugnar por la seguridad en Ciudad Satélite y alrededores. Buscamos apoyo de la ciudadanía! Síguenos ❤,Ciudad Satélite,2013-04-26 00:39:33,None,None,https://pbs.twimg.com/profile_images/3575104967/f3182f3b087475086c825e888a19c901_normal.jpeg,15799,14831,20771,retweeted,satelucos,"['FelizMiercoles', 'Satelucos', 'CuidarteEsCuidarnos', 'NoBajesLaGuardia']",['https://twitter.com/webcamsdemexico/status/1582708387438948352'],[],1582732489059340290,[],[],2022-10-19 15:15:40
1582751672274546688,2022-10-19 15:12:59,RT @Motivos14185270: Que sea hoy un día lleno de bendiciones! #FelizMiercoles https://t.co/IRB3FDUcBM,es,Twitter for Android,Gaby_Perez_S,1243288228624502787,Gabriela Perez Sandoval,,None,2020-03-26 21:26:46,None,None,https://pbs.twimg.com/profile_images/1559228572556050435/HVZ_upAd_normal.jpg,26,61,275,retweeted,Motivos14185270,['FelizMiercoles'],['https://twitter.com/Motivos14185270/status/1582709103821918213/photo/1'],['3_1582709101385113600'],1582709103821918213,['photo'],['https://pbs.twimg.com/media/FfbpisrWYAAgs9v.jpg'],2022-10-19 15:15:40
1582751672681771009,2022-10-19 15:12:59,"RT @SEMARNAT_mx: #FelizMiércoles  📌 No importa si el día está soleado o lluvioso, el #maíz nos ofrece una gran variedad de bebidas frescas y calientes creadas a base de él. 🥃☕️🌽🍃  Te compartimos 2️⃣. ¡Comparte! 👇🏽 🌽 https://t.co/3u7hv5JwNL",es,Twitter for Android,VILCHIS__MX,950573023740006400,Derecho Agrario y Ambiental en México,"Las modificaciones al artículo 27 constitucional, desde su promulgación en 1917.","Jalisco, México",2018-01-09 03:40:44,None,None,https://pbs.twimg.com/profile_images/970545014437629952/ksQft-VH_normal.jpg,530,5003,30748,retweeted,SEMARNAT_mx,"['FelizMiércoles', 'maíz']",['https://twitter.com/SEMARNAT_mx/status/1582750651557490690/photo/1'],['3_1582750647488843776'],1582750651557490690,['photo'],['https://pbs.twimg.com/media/FfcPU_-XkAApswY.jpg'],2022-10-19 15:15:40
1582751637981974528,2022-10-19 15:12:51,"RT @comisionurbani1: #19Oct 1917, Se inaugura el Museo de Bellas Artes de Caracas. Diseñada por el arquitecto Carlos Raúl Villanueva. Es el museo de artes plásticas más antiguo y uno de los más importantes de #Venezuela.   #ComisiónDeUrbanismo #FelizMiércoles #PuebloUnidoYActivo. https://t.co/hXj70Gpbpr",es,Twitter for Android,Stephania050,1511521919954309128,Estefania Sosa,,None,2022-04-06 01:51:38,None,None,https://pbs.twimg.com/profile_images/1511522310582382596/efVMzGUT_normal.jpg,8,11,624,retweeted,comisionurbani1,"['19Oct', 'Venezuela', 'ComisiónDeUrbanismo', 'FelizMiércoles', 'PuebloUnidoYActivo']",['https://twitter.com/comisionurbani1/status/1582720409761611776/photo/1'],['3_1582720387686834182'],1582720409761611776,[],[],2022-10-19 15:15:40
1582751632516820993,2022-10-19 15:12:49,RT @pepecampostruji: “Reír nos hizo  INVENCIBLES No como  las que siempre ganan  Si no como las que NUNCA SE RINDEN”   #Fridakalho   🚺 MÁS INVERSIÓN  MÁS PREVENCIÓN!  💕NO TE RINDAS !  #19Octubre #DiaMundialdelCancerdeMama #ElRosaEsMasQueUnColor #FelizMiercoles #CancerDeMama https://t.co/GTNlNLxlbK,es,Twitter Web App,mjosLozano,307021151,Mª José,Prof de FLE retraitée, Galicia,2011-05-28 21:42:13,['https://ticsenfle.blogspot.com/'],['http://instagram.com/comisionurbani1'],https://pbs.twimg.com/profile_images/1398624648670101505/aZH7YCss_normal.jpg,3500,1276,84896,retweeted,pepecampostruji,"['Fridakalho', '19Octubre', 'DiaMundialdelCancerdeMama', 'ElRosaEsMasQueUnColor', 'FelizMiercoles', 'CancerDeMama']",['https://twitter.com/pepecampostruji/status/1582627569874374659/photo/1'],['3_1582627565050683392'],1582627569874374659,[],[],2022-10-19 15:15:40
1582751625659449344,2022-10-19 15:12:48,RT @MiercolesRepubl: 📢 Primera recomendación republicana de hoy:  ➡️ @Kerrymalamutter ➡️ @oliverdmh96  ✅ Retuitea este tuit ✅ Sigue a quien retuitee ✅ Sigue a quien te siga   📰 Campaña de promoción y crecimiento de cuentas republicanas.   ❤️💛💜 ¡Salud y República! 👋 #FelizMiércoles https://t.co/shgFUstkJ5,es,Twitter for Android,Mononoke_0o,1536346945827942400,Luna,"Me da igual que la sociedad me llame monstruo, porque para él soy su princesa",Ciudad De Hierro,2022-06-13 13:57:27,None,None,https://pbs.twimg.com/profile_images/1576589859656966145/0fXNjFrO_normal.jpg,217,231,229,retweeted,MiercolesRepubl,['FelizMiércoles'],['https://twitter.com/MiercolesRepubl/status/1582627611133345792/photo/1'],['3_1582442074468716553'],1582627611133345792,[],[],2022-10-19 15:15:40
1582751604595314688,2022-10-19 15:12:43,"RT @GpeLC1108: Buenos días Amigas y Amigos twitteros!! Ningún día es igual a otro, hagamos que este día sea mucho mejor. Feliz día de muchas bendiciones y alegrías. #BuenosDiasATodos  #FelizMiércoles https://t.co/39zmqjzc1D",es,Twitter for Android,ENoemiLescano1,816413129714307072,E.Noemí Lescano,.Mujer Militante Pero nista.Docente.Catequista.Feliz 🌈✌,"Buenos Aires, Argentina",2017-01-03 22:37:13,None,None,https://pbs.twimg.com/profile_images/966067653642252290/ngpSycI2_normal.jpg,6259,6861,70917,retweeted,GpeLC1108,"['BuenosDiasATodos', 'FelizMiércoles']",['https://twitter.com/GpeLC1108/status/1582730375549243392/photo/1'],['3_1582730373439451136'],1582730375549243392,[],[],2022-10-19 15:15:40
1582751593920753665,2022-10-19 15:12:40,"RT @arteviajero_com: El Rapto de las Sabinas, escultura realizada en un solo bloque de mármol blanco por Giambologna en el año 1579. Esta obra maestra mide 4,10 metros de altura y muestra una perfecta anatomía del cuerpo humano. Piazza della Signoria, Florencia (#Italia) #BuenosDias #FelizMiercoles https://t.co/eLQgoXt9zu",es,Twitter for iPhone,iervobolo,1573177700000333824,pequeño carabobo,"Carabobo, acerolo, imbécil social, de larga vida, diminuto jumblie, persona en prácticas, soy bueno tirando piedras a sobaquillo.",Vatican City,2022-09-23 05:10:22,None,None,https://pbs.twimg.com/profile_images/1582473426329034752/YgwwZ0v0_normal.jpg,4,14,867,retweeted,arteviajero_com,"['Italia', 'BuenosDias', 'FelizMiercoles']","['https://twitter.com/arteviajero_com/status/1582620841787158529/photo/1', 'https://twitter.com/arteviajero_com/status/1582620841787158529/photo/1']","['3_1582620828935520256', '3_1582620828935639040']",1582620841787158529,[],[],2022-10-19 15:15:40
